,id,address_v4,asn_v4,prefix_v4,status,latitude,longitude,description,Seconds_disconnected,Days_disconnected,lastWeekOn,lastMonthOn,allTimeOn,time_threshold
231,1007401,213.96.250.100,3352,213.96.0.0/16,Connected,42.1675,-8.6925,FTTH-Movistar,0,0,1.0,1.0,1.0,1.0
220,1006162,195.235.93.17,3352,195.235.0.0/16,Connected,40.4385,-3.6495,-,0,0,1.0,1.0,0.9998999999999999,1.0
145,60900,83.48.37.217,3352,83.48.0.0/16,Connected,40.3275,-3.7525,AT,0,0,1.0,0.9998999999999999,0.9998,0.9998999999999999
215,1005907,213.97.72.118,3352,213.97.0.0/16,Connected,36.7405,-4.5625,rindus,0,0,1.0,0.9998999999999999,0.9998,0.9998999999999999
168,62939,88.20.38.88,3352,88.20.0.0/16,Connected,38.0215,-1.1315,"Murcia, Churra",0,0,1.0,0.9998999999999999,0.9997,0.9998999999999999
150,61357,83.53.163.145,3352,83.53.0.0/16,Connected,43.3105,-5.7005,Llangr̩u,0,0,1.0,1.0,0.9995999999999999,1.0
149,61230,88.17.177.243,3352,88.17.0.0/16,Connected,39.4575,-0.3815,-,0,0,1.0,1.0,0.9992,1.0
166,62799,88.22.253.11,3352,88.22.0.0/16,Connected,39.5615,-0.5285,BandaAncha.eu,0,0,0.9979,0.9994,0.9990000000000001,0.9979
113,51352,217.126.185.215,3352,217.126.0.0/16,Connected,40.5985,-3.9805,Casa-new,0,0,0.9982,0.9994,0.9990000000000001,0.9982
184,1004021,83.41.163.43,3352,83.41.0.0/16,Connected,41.5475,2.1085,-,0,0,1.0,0.9998,0.9987999999999999,0.9998
183,1003970,81.39.237.9,3352,81.39.0.0/16,Connected,43.4975,-8.1895,-,0,0,1.0,0.9987,0.9987,0.9987
204,1005149,79.156.59.62,3352,79.156.0.0/16,Connected,41.7415,0.6395,-,0,0,1.0,0.9997,0.9987,0.9997
138,60561,79.146.77.157,3352,79.146.0.0/16,Connected,40.2975,-3.8395,House probe,0,0,0.9986,0.9963,0.9984000000000001,0.9963
192,1004200,88.24.229.106,3352,88.24.0.0/16,Connected,28.0275,-15.5025,-,0,0,1.0,1.0,0.9979,1.0
178,1003090,79.154.210.172,3352,79.154.0.0/16,Connected,41.5975,2.6215,Guadalupe,0,0,1.0,0.9990000000000001,0.9965,0.9990000000000001
164,62588,83.52.254.76,3352,83.52.0.0/16,Connected,43.5315,-5.6685,Torre Stark,0,0,1.0,0.9975,0.9942,0.9975
114,52511,2.137.126.233,3352,2.137.0.0/16,Connected,28.6775,-17.7725,HomeLab Probe,0,0,1.0,0.9987,0.9934999999999999,0.9987
228,1007387,83.34.149.169,3352,83.34.0.0/16,Connected,42.2705,-8.7685,-,0,0,0.9945,0.9933,0.9932,0.9933
102,34344,83.61.133.170,3352,83.61.0.0/16,Connected,40.3395,-3.8205,skgsergio@home,0,0,0.9987,0.9995999999999999,0.9922,0.9987
135,60494,83.36.156.175,3352,83.36.0.0/16,Connected,40.2495,-3.8285,Casa Humanes,0,0,0.9997,0.9993000000000001,0.9909,0.9993000000000001
112,51265,79.150.158.173,3352,79.150.0.0/16,Connected,39.8495,3.0905,Alcudia,0,0,1.0,1.0,0.988,1.0
154,61547,88.0.13.106,3352,88.0.0.0/16,Connected,39.9705,-4.8305,SONDA RIPE ATLAS,0,0,0.9961,0.9965999999999999,0.988,0.9961
162,62363,88.1.140.127,3352,88.1.0.0/16,Connected,40.7385,-3.5995,AS3352 - Version 5 probe,0,0,1.0,0.9998,0.9873999999999999,0.9998
100,33948,79.151.83.32,3352,79.151.0.0/16,Connected,39.9915,-0.0505,Movistar 300M,0,0,1.0,1.0,0.982,1.0
49,15632,83.42.100.54,3352,83.42.0.0/16,Connected,41.4685,2.0885,-,0,0,1.0,0.9997,0.9795,0.9997
42,13881,83.33.243.111,3352,83.33.0.0/16,Connected,40.3975,-3.6985,macias,0,0,0.9991,0.9922,0.9773999999999999,0.9922
1,341,213.0.69.132,3352,213.0.0.0/16,Connected,40.5975,-3.9805,Oficina,0,0,0.9965,0.9978,0.9754999999999999,0.9965
98,33627,79.154.53.175,3352,79.154.0.0/16,Connected,41.4005,2.1885,-,0,0,1.0,0.9998999999999999,0.9732,0.9998999999999999
125,55661,83.54.77.45,3352,83.54.0.0/16,Connected,40.9475,-5.6595,ALOJALIA SAL-HOME1,0,0,1.0,1.0,0.971,1.0
62,21537,2.137.22.14,3352,2.137.0.0/16,Connected,28.0905,-16.7215,MOVISTAR FTTH - Tenerife Sur -,0,0,1.0,1.0,0.9547,1.0
213,1005642,80.58.150.61,3352,80.58.0.0/16,Connected,40.4285,-3.6705,-,0,0,0.9948,0.9984999999999999,0.9267,0.9948
218,1006085,80.26.149.181,3352,80.26.0.0/16,Connected,40.4495,-3.7085,-,0,0,1.0,0.9998,0.9222,0.9998
9,3712,79.148.251.62,3352,79.148.0.0/16,Connected,40.4485,-3.7925,-,0,0,1.0,0.9998999999999999,0.9114,0.9998999999999999
89,30392,81.34.81.13,3352,81.34.0.0/16,Connected,40.5585,-3.6485,Movistar service,0,0,1.0,0.9993000000000001,0.9037000000000001,0.9993000000000001
76,26072,79.145.122.135,3352,79.145.0.0/16,Connected,36.6185,-4.5095,-,0,0,1.0,0.9998,0.8909,0.9998
101,33971,88.17.177.243,3352,88.17.0.0/16,Connected,39.4575,-0.3795,-,0,0,1.0,1.0,0.8908,1.0
45,14866,81.35.25.21,3352,81.35.0.0/16,Connected,40.5405,-3.6495,Valeriano,0,0,1.0,1.0,0.8613,1.0
10,3726,83.48.64.37,3352,83.48.0.0/16,Connected,40.4305,-3.7115,JPC - CNC Madrid,0,0,1.0,1.0,0.8584999999999999,1.0
47,15618,88.19.206.79,3352,88.19.0.0/16,Connected,38.7915,0.0375,EA5DFV,0,0,0.9987999999999999,0.9995,0.8476,0.9987999999999999
99,33818,79.146.75.96,3352,79.146.0.0/16,Connected,40.2915,-3.8325,ALOJALIA MAD-HOME1,0,0,1.0,0.9998999999999999,0.8398,0.9998999999999999
46,15118,80.39.150.99,3352,80.39.0.0/16,Connected,40.4515,-3.6725,ripeprobe,0,0,1.0,0.9998,0.8284999999999999,0.9998
85,30039,81.35.58.7,3352,81.35.0.0/16,Connected,40.6115,-3.5415,JPC HQ Probe 1 (TE),0,0,0.9986,0.998,0.8186,0.998
